nam dosan aku juga mau dong dikado yang buat gosokan yang buat isah isah itu
@jnlltlntn_ Baka c dosan kaya nya https://t.co/82wXqwt3z0
@amsidtho dam dosan tuiter meresaaahkan yahh 😳
"Bukan cuma Jipyeong yang berharga buat Halmeoni, Dosan juga berharga bagi Halmeoni 💖💖💖 https://t.co/UTUjbFMOz2"
"anjir, kenapa jinseok ku sekilas terlihat seperti dosan 😰"
@Annisa_Rahma97 Apalagi kmrin jg ada tim dosan jipyeong:(
Garap e-raport setiap mencet tombol enter berasa jd dosan 😂
@SUNGW27 Gue shipper jipyeong dosan dalmi ga jelasss asukk
deh lucuna ini dosan bodo xD
"@drakorfess_ aku lupa namanya, first leadnya di drakor search sm nam dosan:( uw"
"RT @ridwanhr: Nam dosan waktu kecil nyontek malah jadi juara, rasa bersalahnya ngikut terus berasa sampe dewasa

Ya kurang lebih begitu ras…"
"@collegemenfess minggu ini uprak, jadwal dah mantap belajar juga iya.. tapi yah DoSaN nya yang sering miskom (: jadi untuk apa ada jadwal.."
@nuraien01 Lagi geram bila samsan tech menang. Tapi langsung tak terima kasih dekat jipyeong. Jipyeong dah lah ment… https://t.co/ijZKmbBHPW
@seohokimlove dosan bkin business plan aja ndak bisa gmn saham 🙁🙁
@seoxraa krn dosan berkupu kupu jdi dia pling atas trbank
bodola Jipyeong ni. 3 tahun Dosan duduk america tapi sekali pun taknak usya Dalmi. dah masuk tahun ketiga baru nak… https://t.co/5yURNOKte7
@nuraien01 Memang nanti dia dengan dosan pon. Kesian jipyeong 🥺
"RT @szrbsz: Kim hee ae
Pbg
Hyunbin
Psj
Sonyejin
Suzy ❤

#SUZYRANK #ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dal…"
ni kenapa tiba tiba grup keluarga gue bahas dosan jipyeong anjir
"baru ngikutin start up, pas ngeliat dosan berasa lagi ngeliat isan.
bukan, bukan muka, tapi karakternya"
@collegemenfess aku tanya pak dosan dulu nder
greget gua sama dosan
@dimpleseon sama dosan pun ok
@zynhnafi ak tim dosan
@inaprilia20 nam dosan ganteng + jago it
"ngga pernah mau mengecewakan, tapi benar kata dosan seharusnya... gue gaperlu jadi kebanggaan orang lain karena itu hal yang sulit."
"@jeffiiey Iyaaa samaaa, aku tim suho yang suka oleng ke Seojun bun 😭😭😭 tidak semudah pilih pak han atau dosan 😭😭"
"RT @szrbsz: Kim hee ae
Pbg
Hyunbin
Psj
Sonyejin
Suzy ❤

#SUZYRANK #ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dal…"
Ayo kita bikin app taehyung 😭 ayo kita jadi dosan dalmi 2.0 https://t.co/7DXTaWCQ1n
@ARMYTEAMIID minta nam dosan bikin aja hahahha
@ikhouvanhalu Semoga dosan berbaik hati ngasih nilai😭😭🤲
Sekarang Airlangga Yakin UU Cipta Kerja akan Jadi Game Changer Pemulihan Ekonomi. Saya merasakan optimisme yang ter… https://t.co/VEpht45zqH
@wonpilwipol Ak tim dosan 😈👿
Udah salah malah ngotot lagi kesel dah bener sama si dosan. https://t.co/qoLHFVoigZ
"@sukanyasambat_ yakan... baru kali ini gue nntn drakor main lead nya jelek :))) ngeselin najis
justru malah dapet p… https://t.co/56Op5VLr6O"
temennya dosan https://t.co/5D6KFdrfdI
@onetwonlit dosan team ✋🏻
@drakorfess_ hidung mekar dosan😁
Guys aku rasa aku team dalmi x dosan 🤘😔
"@B_hundred_Hyun @och_aeexolove BAEKHYUN, KAMU TIM JIPYEONG ATAU DOSAN???"
Gue baru nonton start up dan kesel bgt anying sama dosan dkk sotoy nya kebangetan + dalmi juga si
@apagehwoy Apakah kamu kim dosan?
"@aissr_ WKWKWK kemarin start up aku ga goyah, dari awal sampe akhir tetep dosan.

kalo yang ini..... ampun bang:')"
@KAKYOSHl awalnya jipyeonh tp udh gsnti ke dosan😭😭
Males ah didi mirip dosan
"@B_hundred_Hyun baekhyunnn, team han jipyeong or nam dosan?????????????"
"@sunghoonday jgan ngarep
-dosan"
Hahaha budak yg jadi jipyeong masa kecik ni mmg setiap drama dia kena tgok org makan ke? 🤣🤣Dah la yg makan tu nam d… https://t.co/O6vMFyvOzd
@tiaramaliask ak jg sayang dosan tp peran jipyeong tuh ANEH BGT KEK... sumbernya doi doang trs yg lain bagian panjj… https://t.co/4NIjpDGifA
gw kira Nam Dosan. rambutnya. https://t.co/7u0mOPSWrm
@day6confess Tolong tolong nana tim dosan tp tetep sakit liatnya. Nyeri sampe atrium kiri😭😭
@hanisahnahar Tu nam jo hyuk bukan dosan! Kalau nam jo hyuk saya minat ahh
"sudah eps 9 dan aku masih tim dosan, bingung tim ji pyeong darimananya sih :("
@SarjenRigby weh kau pernah tengok tak dosan main basket dengan curry
@AmiraulMeireles Team hanjipyeong ke team dosan?
"RT @szrbsz: Kim hee ae
Pbg
Hyunbin
Psj
Sonyejin
Suzy ❤

#SUZYRANK #ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dal…"
@15dnghyck NANTI KASIH TAU TIM DOSAN APA JIPYEONG
@ichaafitri @drakoridfess Dosan jdi peran utama bukan
@drakoridfess Drakor yang dimainin dosan itu judulnya apa
"then: “sha, tim dosan / jipyeong?”
          “gatau, blm nontoon”
now:  “sha, tim seojun / suho?”
           “gatau… https://t.co/UuBanYFAsU"
nam dosan https://t.co/V45RlltBtw
@ultsppe tim dosan menang😏
kangen liat nam dosan serius ngecoding 🥺🖤 https://t.co/dIa8QKiNwI
@kookmain 12 nih abis gelud sm dosan trs nangis ke halmeoni :(
@kucingbandelll Yah yg menang si nam dosan awokawok
@sunghoonday dosan: gk dulu 🙏🏻
"RT @szrbsz: Kim hee ae
Pbg
Hyunbin
Psj
Sonyejin
Suzy ❤

#SUZYRANK #ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dal…"
"RT @szrbsz: Kim hee ae
Pbg
Hyunbin
Psj
Sonyejin
Suzy ❤

#SUZYRANK #ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dal…"
"Kim hee ae
Pbg
Hyunbin
Psj
Sonyejin
Suzy ❤

#SUZYRANK #ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁… https://t.co/60T1vUTaag"
informasinya bagus tp kenapa pake nama dosan sama jipyeong monmaap😭😂 https://t.co/VSXG8RTyKS
@waifeukim Kawal jipyeong terus walo tau akhirnya yg sama dalmi itu dosan!!!
"Yaudala jipyeong sama dosan, suho sama seojun aja biar jadi drama BL hahaha repot2"
Gue gak papa bgt Dalmi sama Dosan. Tapii kenapa tiap inget Seon Ho gue jd degdegan hahaahaa anjiir lah ini lesung p… https://t.co/k2mai1GFXJ
tim dosan apa ji pyeong sii
@sunghoonday wkwkwk dosan lg kerja
Aduh mas dosan kapan jemput aku yh
dosan bntu akkkk https://t.co/xAoyomLS1G
"Teepublic
Yang mau kembaran sama Dal mi di drama Start up, bisa beli bajunya 
#teepublic #startup #kdrama… https://t.co/qiSWcssng3"
gue nonton start up nyampe eps 12 kok dosan dalmi putus? emang kapan pacarannya bjir :[[[[[
"tengs to dosan, aku semangat ngerjain python huuuu"
Ketika di banch sebelah ada anak baru trs gasengaja aku liat lockscreen nya foto si nam joo-hyuk yg jadi si nam dos… https://t.co/NJQIhJtiqK
Dosan cengeng bgt si
at least he tried and won't give up. kesel sama orang² yang nonton start up itu cuma nonton kisah cintanya doang. b… https://t.co/1aDJWpHTki
@PIPLOYBOX @SANDBOXCLSD Dosan saha pasti setuju
"RT @szrbsz: Korea #3

#ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dalmi #Dosan"
@peursona @MeraihCitaCita wkwk betull... btw Suho Dosan siapa?😭
@moonvelys temennya dosan
"karakter aku emang mirip jipyeong sih, makanya aku suka dosan wkkk https://t.co/WP9TrKfRo3"
@moonvelys yongsan (temen dosan)
@heewonluv Team dosan
"RT @retorikafisipua: Tim Han Jipyeong atau Nam Dosan? Yuk, lihat pelajaran yang bisa kita ambil dari Drama Korea ""Start-Up""!☺ https://t.co/…"
"Datang dari global tv , dora kayanya baper ketika dirinya lagi jemur baju tiba2 nam dosan keluar rumah untuk mengam… https://t.co/jEcmTB6lNJ"
yang dari awal tim dosan tuh kok bisa sihh.. aku agak goyah sihh pas dia nangis krn diri dia yg selalu bahas angin.… https://t.co/5XcggPGgp9
@tubbirfess ya Allah jipyeong dosan😭😭😭😭
@g_ggablue Nam dosan aja soalnya jipyeong buat aku
akuu gabisa milih jadi tim dosan apa han ji pyeong 😭😭😭😭
Tapi so far sampai eps 4 Dalmi ma Dosan gemey sihh... 😆
"@haniefela NAM DOSAN WOIII

NAM, MARGANYA NAM, BUKAN KIM"
